recipe_tag	coefficient
bias	0.3784609612110993
alfredo	0.015010087605533089
almond	0.09276993983383304
american	0.07442713821359555
appetizer	-0.00194439642720768
appetizers	0.03691548299123907
apple	0.05814078808422015
asiancuisine	0.016656433858302865
asparagus	0.003385462152309905
avocado	0.00020497792994497374
bacon	-0.35554933942083533
baked	0.0031635276280077076
bakeddishes	-0.0020946494063797593
bakery	0.005559393093271023
baking	0.13655497622886123
beans	0.003507065273521086
beef	0.014644129738513903
bellpeppers	0.0025013149938865405
berries	0.062496183970782215
blackbeans	0.0025013149938865405
blackvinegar	0.003055008681133117
blueberry	0.01053412319666847
boiledeggs	0.0046308721315813164
bokchoy	0.0046308721315813164
braided	0.01994851742091874
bread	-0.0165708185463143
breaded	0.008012726682534159
breakfast	-0.04626845395410517
breakfastpastry	-0.0026230906181247877
brioche	0.04847883707866979
broiling	-0.006251378596873621
brownies	0.02688911106131159
brownsugar	0.011161154011184943
brunch	0.04856885744057517
burger	-0.003843480249712459
burritos	0.004472766558344607
buttery	0.006916442578159546
cake	0.015571709373061435
carrots	0.0046308721315813164
casserole	0.013782904917807107
celebration	0.001677084865842904
cheese	0.003232879102039895
cheesy	0.010872178802177605
cherry	-0.05000781089641862
chicken	0.02565352803214309
chickpeas	-0.003843480249712459
chilioil	0.00307101465544468
chilipowder	0.0025013149938865405
chinese	0.012150392326954144
chinesecookingwine	1.6005974311562877e-05
chinesecuisine	0.01856878930771971
chocolate	0.14737311144928184
chocolatechip	0.11132039201399743
chocolatecroissant	-0.0026230906181247877
christmas	0.034806579781116204
cilantro	-0.001015265365782071
cinnamon	-0.043379255123675936
citrus	0.01740328989055808
classic	0.036986268406029914
cloves	0.021194573905980358
cobbler	-0.07157142739725417
cocoapowder	0.021698541270291128
coffee	0.012454056842025255
cold	0.012150392326954144
coldnoodles	0.014739802658960056
comfortfood	0.023956103775989054
condiment	0.03658003024690802
cookies	-0.05860864395488116
corn	0.001677084865842904
cranberry	0.04716191488550693
creamcheese	-0.017129866182617737
creamy	-0.008153137622587483
crisp	0.1614317628071824
crispy	0.009288689064167296
croissant	0.012454056842025255
croissants	0.1083218606743302
crumble	0.009793536122575287
crust	0.021194573905980358
cucumber	0.014739802658960056
cumin	0.0025013149938865405
cupcakes	0.03488846717095969
custard	-0.024554868544147207
custardy	0.0018695165676922611
customizable	0.017981392052778194
danish	-0.017129866182617737
dashibroth	0.01760757711354132
dates	-0.02919833164080805
decadent	0.05732807140486143
dessert	0.22818198265309306
dinner	0.003140121171215723
dip	0.01094940572891294
donuts	-0.05293923844535148
easterneuropean	0.01994851742091874
easy	0.019582425502887874
easydinner	0.005630452664626974
egg	0.0050309882654504
eggs	-0.00962435236290565
eggwhites	-0.02921333044470265
fajitaseasoning	0.002753600501402887
fall	0.038140395271445575
familyfriendly	0.01941335758243408
fastfood	0.008012726682534159
fetacheese	0.006004599720609231
filling	0.019251996656301656
fingerfood	0.023556777060536535
flaky	-0.02806820654704342
french	0.003314401658926977
frenchcuisine	0.038296412565206966
frenchpastry	0.01539035931717149
fresh	-0.014165090523820548
fried	0.0178708869381885
friedfood	0.039729482117835196
friedrice	0.0012706046035234622
fries	-0.007419426929295683
frosting	0.05046017654402113
fruit	-0.0211398364653555
fudgy	0.037379553983942694
gamedayfood	0.009189299451138524
ganache	-0.0061268318972296934
garlic	0.010692335163769603
ginger	1.6005974311562877e-05
glutenfree	-0.007450330773231564
goldenbrown	0.010685327415857145
greenbeans	0.015745506471093976
greenonion	0.01067632918945804
greenonions	0.009103638689925923
grill	-0.003843480249712459
grilled	-0.03220771374334253
grilling	-0.006251378596873621
groundbeef	0.011637904769370268
gruyere	-0.016386130366479165
gruyerecheese	-0.012342982037943435
guacamole	0.008761980768810514
hamandcheese	-0.017129866182617737
hamburger	-0.013698616804882194
handheld	0.017981392052778194
handtorndough	0.010562047997658744
hawaii	-0.013698616804882194
hawaiian	-0.01896275976172726
healthy	-0.00046517406374829793
herbs	-0.003409854172712258
holiday	0.0364836646469591
homemade	0.03238181461879313
indulgent	0.03488846717095969
italian	0.02980098287550462
italiancuisine	0.015010087605533089
jalapenos	-0.007419426929295683
japanesecuisine	0.027152626558746586
juicy	-0.022280814678903398
ketchup	-0.013698616804882194
keto	-0.024957468475656358
kidfriendly	0.023556777060536535
koreancuisine	0.010562047997658744
laminateddough	0.005559393093271023
lasagna	0.007745784373375728
lattice	0.021194573905980358
lettuce	0.004139733659812229
lime	-0.0010312713400936339
loadednachos	0.016608726380434206
lowcarb	-0.024957468475656358
lunch	0.003140121171215723
macandcheese	-0.010022654190279744
maple	-0.05293923844535148
maplesyrup	0.006931803292154455
masa	0.001677084865842904
mayonnaise	-0.013698616804882194
meal	0.008012726682534159
mealprep	-0.0038969182284570108
meat	0.022869625445043458
meatsauce	0.015635056499964127
mexican	0.028760440471376637
mexicancuisine	0.03285251669248161
mexicanfood	0.016608726380434206
middleeastern	0.012104491360058358
miso	0.0046308721315813164
muffins	-0.0038969182284570108
mushroom	-0.005032783309221517
mushrooms	0.0046308721315813164
nachos	0.026217005396587948
noodles	0.020119578321711212
noodlesoup	0.0046308721315813164
nori	-0.01896275976172726
numbing	0.015529786600898156
nutmeg	0.0323557279171653
oat	0.03784883790694232
oats	-0.0011941810932057807
onion	0.006834953813197929
onions	0.005254915495289427
onthego	-0.01896275976172726
oven	-0.0026230906181247877
oysters	0.02448809515898713
pacificislands	-0.013698616804882194
pancakes	0.006931803292154455
parmesan	-0.016386130366479165
partyfood	-0.0006089281913672709
pasta	0.019153359790793842
pastasauce	0.015635056499964127
pastry	0.02928481128573951
pastrycrust	-0.014212498605635697
peach	0.08524533633155312
peanutbutter	0.05565074633504159
peanutdressing	0.012592960388800846
peanuts	0.003055008681133117
peppers	0.002753600501402887
pickledvegetables	0.02906095684258156
pie	0.0956217121195759
piecrust	0.006004599720609231
pork	0.003055008681133117
porkbelly	0.0046308721315813164
potatoes	0.004472766558344607
protein	-0.0038969182284570108
puffpastry	-0.0026230906181247877
quiche	0.03384750772946794
quick	0.015223061504999542
ramen	0.0046308721315813164
refreshing	0.0254935028025516
relish	0.01740328989055808
rhubarb	0.0254935028025516
rice	-0.01896275976172726
ricevinegar	0.01067632918945804
rich	0.05732807140486143
ricotta	-0.0003620033552435824
salad	0.017672689908551913
salsa	0.02057889644336454
salty	-0.010022654190279744
sandwich	0.0050309882654504
sauce	0.01740328989055812
savory	0.00181440995142137
scallions	0.00307101465544468
scallops	-0.01850909693846034
seafood	0.010289667621311914
sesame	0.012150392326954144
sesameoil	0.01067632918945804
sesameseeds	0.01067632918945804
shrimp	-0.006251378596873621
sichuancuisine	0.01858479528203127
sichuanpeppercorns	0.00307101465544468
sidedish	0.02316456167694743
sidedishes	0.015745506471093976
skewers	-0.006251378596873621
smoky	-0.031032864265659682
snack	0.017976973925873926
snacks	0.008326079541798294
sobanoodles	0.016656433858302865
soft	0.010685327415857145
souffle	0.0022375143551360208
soup	0.015476225311282694
sourcream	0.01428850851255746
southern	0.05286352171276
southerncuisine	0.02448809515898713
soysauce	0.019648820580007498
spam	-0.03266137656660945
spices	-0.003409854172712258
spicy	0.02318397660656461
spicyfood	0.015241386958848064
spinach	0.012745027300340965
spring	0.0026447174540157638
steamed	0.001677084865842904
stirfry	0.015513780626586593
strawberry	0.0254935028025516
streetfood	0.01997071651334992
stuffedpeppers	0.015241386958848064
summer	0.08347373872195372
sushi	-0.01896275976172726
sweet	0.04602575551500497
sweetandsalty	-0.1699290359688786
sweetandsavory	-0.046007435153197024
sweettreat	0.009830966223900468
taco	0.013815605561115319
tacos	0.007866225153291563
tangy	0.0603000825836678
tart	0.01740328989055812
tea	0.012454056842025255
tempura	0.01760757711354132
tender	0.018698054098391304
texmex	0.002753600501402887
thanksgiving	0.034806579781116204
toast	0.0050309882654504
tomato	-0.0066436697718947075
tomatoes	0.008336631779913426
tomatosauce	0.02087678263751476
tortilla	0.0025013149938865405
tortillabowl	0.013815605561115319
tortillachips	-0.008735876041364252
tortillas	0.007226367059747494
traditional	0.001677084865842904
twisted	0.01994851742091874
udonnoodles	0.01760757711354132
vanilla	-0.02921333044470265
vanillaicecream	-0.0011941810932057807
vegan	0.008508870897394931
vegetables	0.01447737005519797
vegetarian	0.0528178911593729
warm	-0.0026230906181247877
whippedcream	-0.0011941810932057807
winter	0.038140395271445575
yeastdough	0.01994851742091874
